capacitance_in_uf;width_in_mm;multiplier_1;height_in_mm;multiplier_2;length_in_mm;p1_in_mm;ordering code;i_rms_max_85degree_in_A;ESR_85degree_in_mOhm;ESL_in_nH;tan_delta_max_1kHz_in_e-3;tan_delta_max_10kHz_in_e-3;MOQ;V_R_85degree;V_op_105degree;V_op_125degree
25.0;30.0;x;45.0;x;42.0;20.3;B32716P3256+000;16.0;4.5;15.0;1.5;11.6;400;675;675;450
30.0;33.0;x;48.0;x;42.0;20.3;B32716P3306+000;18.4;3.8;16.0;1.5;11.8;180;675;675;450
35.0;35.0;x;50.0;x;42.0;20.3;B32716P3356K000;20.1;3.4;17.0;1.5;11.9;144;675;675;450
40.0;35.0;x;54.0;x;42.0;20.3;B32716P3406K000;21.7;3.0;19.0;1.5;12.1;168;675;675;450
45.0;38.0;x;57.0;x;42.0;20.3;B32716P3456K000;23.5;2.7;20.0;1.5;12.3;224;675;675;450
50.0;42.5;x;60.0;x;42.5;20.3;B32716P3506+000;24.2;2.4;21.0;1.6;12.6;140;675;675;450
4.0;24.0;x;15.0;x;42.0;-;B32716P7405K000;4.8;23.7;12.0;1.3;9.6;1040;750;750;600
5.0;24.0;x;19.0;x;42.0;-;B32716P7505+000;5.5;18.7;14.0;1.3;9.7;780;750;750;600
8.0;18.0;x;32.5;x;42.0;-;B32716P7805+000;7.6;12.0;26.0;1.3;9.9;720;750;750;600
9.0;18.5;x;35.5;x;42.0;10.2;B32716P7905+000;8.5;10.4;12.0;1.3;9.7;680;750;750;600
12.0;20.0;x;39.5;x;42.0;10.2;B32716P7126K000;10.1;8.2;13.0;1.3;9.8;640;750;750;600
14.0;28.0;x;37.0;x;42.0;10.2;B32716P7146+000;12.1;6.7;12.0;1.3;9.8;440;750;750;600
16.0;24.0;x;44.0;x;42.0;12.7;B32716P7166+000;13.0;6.0;15.0;1.3;9.9;520;750;750;600
18.0;28.0;x;42.5;x;42.0;10.2;B32716P7186+000;14.3;5.3;14.0;1.3;9.9;440;750;750;600
20.0;30.0;x;45.0;x;42.0;20.3;B32716P7206+000;15.6;4.8;15.0;1.3;10.0;400;750;750;600
22.0;33.0;x;48.0;x;42.0;20.3;B32716P7226+000;16.7;4.4;15.0;1.3;10.1;180;750;750;600
25.0;35.0;x;50.0;x;42.0;20.3;B32716P7256+000;18.4;3.9;16.0;1.3;10.2;144;750;750;600
30.0;35.0;x;54.0;x;42.0;20.3;B32716P7306+000;20.8;3.3;19.0;1.3;10.4;168;750;750;600
35.0;38.0;x;57.0;x;42.0;20.3;B32716P7356+000;22.5;2.9;20.0;1.4;10.5;224;750;750;600
40.0;42.5;x;60.0;x;42.5;20.3;B32716P7406+000;24.0;2.6;21.0;1.4;10.7;140;750;750;600
3.5;24.0;x;15.0;x;42.0;-;B32716P8355K000;4.6;25.6;12.0;1.2;8.8;1040;825;825;660
4.5;24.0;x;19.0;x;42.0;-;B32716P8455K000;5.5;19.7;15.0;1.2;8.8;780;825;825;660
6.5;18.0;x;32.5;x;42.0;-;B32716P8655+000;7.3;13.4;26.0;1.2;9.0;720;825;825;660
7.5;18.5;x;35.5;x;42.0;10.2;B32716P8755+000;8.2;11.4;12.0;1.2;8.8;680;825;825;660
9.0;20.0;x;39.5;x;42.0;10.2;B32716P8905+000;9.5;9.5;13.0;1.2;8.9;640;825;825;660
12.0;28.0;x;37.0;x;42.0;10.2;B32716P8126+000;11.7;7.2;12.0;1.2;8.9;440;825;825;660
14.0;24.0;x;44.0;x;42.0;12.7;B32716P8146K000;12.6;6.5;15.0;1.2;9.0;520;825;825;660
16.0;30.0;x;45.0;x;42.0;20.3;B32716P8166+000;14.7;5.4;15.0;1.2;9.1;400;825;825;660
18.0;33.0;x;48.0;x;42.0;20.3;B32716P8186+000;16.5;4.9;16.0;1.2;9.1;180;825;825;660
20.0;33.0;x;48.0;x;42.0;20.3;B32716P8206+000;17.3;4.4;16.0;1.2;9.2;180;825;825;660
22.0;35.0;x;50.0;x;42.0;20.3;B32716P8226+000;18.6;4.1;17.0;1.2;9.3;144;825;825;660
25.0;35.0;x;54.0;x;42.0;20.3;B32716P8256+000;19.9;3.7;19.0;1.2;9.4;168;825;825;660
28.0;38.0;x;57.0;x;42.0;20.3;B32716P8286+000;20.8;3.3;19.0;1.3;9.5;224;825;825;660
30.0;42.5;x;60.0;x;42.5;20.3;B32716P8306+000;21.7;3.1;20.0;1.3;9.6;140;825;825;660
2.7;24.0;x;15.0;x;42.0;-;B32716P9275K000;4.3;29.5;12.0;1.1;8.1;1040;900;900;720
3.5;24.0;x;19.0;x;42.0;-;B32716P9355+000;5.3;22.3;15.0;1.1;8.1;780;900;900;720
5.0;18.0;x;32.5;x;42.0;-;B32716P9505+000;6.7;15.7;25.0;1.1;8.2;720;900;900;720
6.0;18.5;x;35.5;x;42.0;10.2;B32716P9605+000;7.6;13.1;11.0;1.1;8.1;680;900;900;720
8.0;20.0;x;39.5;x;42.0;10.2;B32716P9805+000;9.4;9.9;13.0;1.1;8.2;640;900;900;720
10.0;28.0;x;37.0;x;42.0;10.2;B32716P9106+000;11.3;7.8;12.0;1.1;8.2;440;900;900;720
12.0;28.0;x;42.5;x;42.0;10.2;B32716P9126+000;12.8;6.6;14.0;1.1;8.3;440;900;900;720
14.0;30.0;x;45.0;x;42.0;20.3;B32716P9146+000;14.3;5.7;15.0;1.1;8.3;400;900;900;720
16.0;33.0;x;48.0;x;42.0;20.3;B32716P9166+000;16.2;5.0;16.0;1.1;8.4;180;900;900;720
18.0;35.0;x;50.0;x;42.0;20.3;B32716P9186+000;17.6;4.5;17.0;1.2;8.5;144;900;900;720
20.0;35.0;x;54.0;x;42.0;20.3;B32716P9206+000;18.9;4.1;18.0;1.2;8.5;168;900;900;720
22.0;38.0;x;57.0;x;42.0;20.3;B32716P9226+000;19.5;3.8;19.0;1.2;8.6;224;900;900;720
25.0;42.5;x;60.0;x;42.5;20.3;B32716P9256+000;20.8;3.4;20.0;1.2;8.8;140;900;900;720
2.0;24.0;x;15.0;x;42.0;-;B32716P0205K000;4.2;33.5;12.0;1.0;6.6;1040;1050;1050;840
2.7;24.0;x;19.0;x;42.0;-;B32716P0275K000;5.0;24.7;15.0;1.0;6.7;780;1050;1050;840
3.5;18.0;x;32.5;x;42.0;-;B32716P0355+000;6.1;18.6;24.0;1.0;6.8;720;1050;1050;840
4.0;18.5;x;35.5;x;42.0;10.2;B32716P0405+000;6.9;16.0;11.0;1.0;6.7;680;1050;1050;840
5.0;20.0;x;39.5;x;42.0;10.2;B32716P0505+000;8.1;13.0;12.0;1.0;6.7;640;1050;1050;840
6.0;22.0;x;37.0;x;42.0;10.2;B32716P0605+000;8.7;11.2;13.0;1.0;6.7;560;1050;1050;840
7.0;28.0;x;37.0;x;42.0;10.2;B32716P0705+000;10.4;9.2;12.0;1.0;6.7;440;1050;1050;840
8.0;24.0;x;44.0;x;42.0;12.7;B32716P0805+000;11.3;8.2;15.0;1.0;6.8;520;1050;1050;840
10.0;30.0;x;45.0;x;42.0;20.3;B32716P0106+000;13.4;6.6;15.0;1.0;6.8;400;1050;1050;840
12.0;33.0;x;48.0;x;42.0;20.3;B32716P0126+000;15.4;5.6;16.0;1.0;6.9;180;1050;1050;840
14.0;35.0;x;50.0;x;42.0;20.3;B32716P0146K000;16.7;5.0;17.0;1.0;6.9;144;1050;1050;840
16.0;35.0;x;54.0;x;42.0;20.3;B32716P0166K000;18.1;4.5;19.0;1.0;7.0;168;1050;1050;840
18.0;38.0;x;57.0;x;42.0;20.3;B32716P0186K000;19.1;4.0;20.0;1.0;7.1;224;1050;1050;840
20.0;42.5;x;60.0;x;42.5;20.3;B32716P0206K000;19.9;3.6;21.0;1.0;7.2;140;1050;1050;840
