series;rated_voltage;dv/dt V/us
B32724;800;40
B32724;900;50
B32724;1000;75
B32724;1200;100
B32726;800;25
B32726;900;35
B32726;1000;50
B32726;1200;65
B32728;800;15
B32728;900;18
B32728;1000;21
B32728;1200;28
